token_id,time_est,is_auction,price,currency,price_eth,price_usd,name,background,body,eyes,hand,head,mouth,skin,eyewear,face,neck,special features,legendary
1305,2022-06-09 16:59:46,False,0.154,eth,0.154,259.01,Fear City #1305,Subway,Camo Bomber,Demon,Rubber Ducky,Wolf Head with Blonde Hair,Natural Lips,Baker,Matrix Glasses,,,,
3013,2022-06-08 05:45:10,False,0.155,eth,0.155,260.59,Fear City #3013,Subway,Camo Bomber and Leather Cut Off,Natural,Spray Paint,Green Mohawk,It Lips Smiley,Sophia,,,,,
3100,2022-06-10 01:40:44,False,0.155,eth,0.155,260.59,Fear City #3100,God Bless America,Denim Cut Off and Green T,Aladdin Sane Flash,Statue of Liberty,Red Supermeme Hat,Porn Moustache,Baker,Red Clubmasters,,,,
1381,2022-06-10 04:17:47,False,0.158,eth,0.158,265.74,Fear City #1381,Subway,Champion T,Empress,Cash,Blonde Bob,Ciggy,Helen,Ski Goggles,Nose Band Aid,,AK-47,
2175,2022-06-09 20:22:51,False,0.159,eth,0.159,267.42,Fear City #2175,God Bless America,Plaid Shirt,Natural,Hot Dog,Cat Ear Headphones,Lolly Lips,Sophia,,,,,
1054,2022-06-10 03:02:37,False,0.16,eth,0.16,269.1,Fear City #1054,Blue City,Black T,Labyrinth Green Shadow,Cash,Brown Princess Leia,Juul,Barb,,,Clock Bling,,
2785,2022-06-10 03:03:06,False,0.16,eth,0.16,269.0,Fear City #2785,Green Flag,INSA Jacket,Clockwork Orange,Red Envelopes,Red Wonky Baseball Cap,Buck Teeth with Ciggy Holder,Helen,Goth Glasses,,Choker,Pigeon with Syringe,
640,2022-06-10 03:04:01,False,0.16,eth,0.16,269.1,Fear City #640,God Bless America,Blue Hoodie,Smokey Punk,Zippo,Red Bob,Joint,Barb,Yellow Glasses Blue Lens,,,Blue Lasers,
416,2022-06-07 22:24:08,False,0.16,eth,0.16,269.1,Fear City #416,Love Flash,Shadow Snake Armor,Normal Eyes,Lilac Cake,Red Wonky Baseball Cap,Joint,ShadowKai,3D Glasses,,,,
1562,2022-06-08 18:08:21,False,0.16,eth,0.16,269.1,Fear City #1562,Static,Plaid Shirt Open,Natural,Goldfish,Silver Bunny Mask,Smiley with Ciggy Holder,Barb,,Hickies,Samurai Bling,Pigeon,
755,2022-06-10 03:03:34,False,0.16,eth,0.16,269.1,Fear City #755,God Bless America,Bondage Waitress with Shirt,Natural,Red Envelopes,Red Pigol Bucket Hat,It Lips,Sophia,Yellow Glasses,Eye Black,,,
2486,2022-06-10 12:12:37,False,0.16899999999999998,eth,0.16899999999999998,284.13,Fear City #2486,Blue City,Red Football Jersey,Normal,Bloody Bat,Cuban Beret,Cigar,Baker,Matrix Glasses,,,,
3281,2022-06-09 21:40:36,False,0.17,eth,0.17,285.81,Fear City #3281,Subway,Green Vest,Normal Eyes,Sakura Samurai Sword,Green Baseball Cap,Goatee,ShadowKai,Matrix Glasses,,,,
1105,2022-06-07 17:33:42,False,0.17300000000000001,eth,0.173,290.97,Fear City #1105,God Bless America,Camo Bomber,Demon,Cop Car,Green Mask,Natural Lips,ShadowKai,,,,,
2083,2022-06-10 02:17:11,False,0.175,eth,0.175,294.22,Fear City #2083,Green Flag,Butterfly Knives T,Natural,Zippo,Cuban Beret,Joint,Sophia,Black Glasses Pink Lens,,Choker,Tentacles,
1261,2022-06-10 00:41:04,False,0.175,eth,0.175,294.33,Fear City #1261,God Bless America,Leather Cut Off,,Syringe,Blue Pigol Bucket Hat,Joker with Ciggy,Thumper,Clubmasters,Rabbit Head,,,
2326,2022-06-09 10:49:07,False,0.175,eth,0.175,294.22,Fear City #2326,God Bless America,Free Panther T,Demon,Hummingbird,Pink Short Mohawk,Joint,Baker,Bitcoins,,,,
2356,2022-06-10 02:17:06,False,0.175,eth,0.175,294.33,Fear City #2356,Pink Spotlight,Bondage Waitress,Natural,Parrot,Gold Pixie,Joker,Helen,,Nose Band Aid,,,
2409,2022-06-10 02:16:38,False,0.175,eth,0.175,294.33,Fear City #2409,God Bless America,Yellow Roller Disco T,Smokey Punk,Knife Up,Pink Short Mohawk,Cigar with Smeared Lipstick,Barb,,Hickies,Choker,,
2445,2022-06-10 02:17:00,False,0.175,eth,0.175,294.33,Fear City #2445,Green Flag,INSA Jacket,Normal Eyes,Zippo,Spikey Blonde Hair,Idol Sneer,ShadowKai,,Nose Band Aid,,,
2643,2022-06-10 02:16:32,False,0.175,eth,0.175,294.22,Fear City #2643,3D Flag,Plaid Shirt Open,Natural,Cash,Warhol,Madonna Mouth,Helen,,,,,
2692,2022-06-10 11:15:55,False,0.175,eth,0.175,294.22,Fear City #2692,Blue City,Leather Cut Off,Cartoon,Spray Paint,Black Biker Helmet with White Stripe,Joker with Ciggy,Helen,,,,,
284,2022-06-10 00:40:42,False,0.175,eth,0.175,294.33,Fear City #284,God Bless America,Butterfly Knives T,Natural,Rubber Ducky,Green Mohawk,Joint,Sophia,Ski Goggles,,Samurai Bling,,
739,2022-06-10 12:40:12,False,0.175,eth,0.175,294.33,Fear City #739,God Bless America,Green Leather Trench Coat,Natural,Syringe,Duo Tone Wig,Joker with Ciggy,Sophia,,Nose BandAid,Choker,,
2232,2022-06-10 02:16:50,False,0.175,eth,0.175,294.22,Fear City #2232,God Bless America,Denim Cut Off and Green T,Normal,Zippo,Blue Pigol Bucket Hat,Idol Sneer,Baker,,Nose Band Aid,,,
