token_id,rank,score
857,9440,70.50
858,1544,118.83
859,7018,84.06
860,2515,108.59
861,9498,70.08
862,6728,85.34
863,4905,93.99
864,8847,74.86
865,7741,80.87
866,8073,79.23
867,5127,92.87
868,4361,96.67
869,2327,110.18
870,6796,84.98
871,4515,95.91
872,2910,105.65
873,8714,75.66
874,9036,73.60
875,2006,113.27
876,9304,71.64
877,4291,97.01
878,6723,85.36
879,6698,85.49
880,8425,77.46
881,6744,85.21
882,1224,124.36
883,1803,115.32
884,6336,87.33
885,6431,86.90
886,5137,92.83
887,2087,112.32
888,469,148.12
889,5839,89.56
890,755,136.05
891,3511,101.43
892,8016,79.49
893,5125,92.89
894,4305,96.93
895,99,261.98
896,98,262.65
897,9537,69.80
898,1670,116.91
899,318,158.75
900,670,138.71
901,8739,75.53
902,9295,71.69
903,6295,87.52
904,2135,111.85
905,5875,89.42
906,8599,76.38
907,522,145.29
908,729,136.80
909,4418,96.40
910,2455,108.99
911,6266,87.67
912,553,144.06
913,2036,112.87
914,2533,108.43
915,6584,86.12
916,9779,66.87
917,2256,110.86
918,6291,87.54
919,483,147.05
920,8165,78.78
921,7283,82.99
922,3479,101.63
923,7706,81.04
924,7962,79.75
925,3507,101.45
926,9168,72.67
927,7038,83.99
928,2082,112.38
929,7805,80.52
930,7041,83.97
931,9428,70.57
932,1372,121.35
933,482,147.10
934,1652,117.07
935,6811,84.92
936,3786,99.95
937,7302,82.91
938,6805,84.94
939,3969,98.83
940,7012,84.08
941,9111,73.05
942,6733,85.29
943,2175,111.51
944,9925,63.60
945,3404,102.06
946,2377,109.69
947,6146,88.19
948,8800,75.16
949,7930,79.94
950,4851,94.26
951,5664,90.36
952,93,279.51
953,8562,76.64
954,8447,77.33
955,9543,69.76
956,9450,70.39
957,8560,76.66
958,2114,112.07
959,5888,89.28
960,124,203.66
961,488,146.93
962,4899,94.01
963,7840,80.38
964,3913,99.16
965,9575,69.31
966,8007,79.54
967,8570,76.58
968,9613,68.95
969,6412,86.99
970,9001,73.88
971,4124,98.01
972,6621,85.95
973,6236,87.80
974,9917,63.81
975,485,146.99
976,9225,72.24
977,260,166.03
978,8971,74.08
979,2794,106.37
980,7734,80.90
981,7270,83.03
982,4653,95.20
983,2940,105.41
984,4936,93.89
985,7666,81.21
986,4808,94.45
987,6677,85.61
988,7466,82.13
989,2589,107.94
990,3870,99.46
991,8821,75.01
992,535,144.76
993,9237,72.14
994,7575,81.64
995,294,161.46
996,8616,76.31
997,9437,70.52
998,1958,113.75
999,579,142.86
1000,2149,111.69
1001,3675,100.59
1002,6076,88.50
1003,5801,89.75
1004,9455,70.37
1005,911,131.44
1006,8740,75.53
1007,6181,88.06
1008,3195,103.60
1009,5630,90.54
1010,3114,104.07
1011,4608,95.41
1012,6988,84.18
1013,3879,99.42
1014,2900,105.72
1015,8702,75.73
1016,9839,65.94
1017,2594,107.87
1018,4506,95.95
1019,8907,74.43
1020,5605,90.64
1021,5652,90.44
1022,5184,92.60
1023,9047,73.52
1024,8580,76.50
1025,5708,90.13
1026,6549,86.32
1027,5053,93.22
1028,2576,108.03
1029,8219,78.53
1030,2712,107.04
1031,4313,96.88
1032,2326,110.19
1033,3832,99.66
1034,4423,96.38
1035,7091,83.72
1036,9040,73.58
1037,8791,75.22
1038,2518,108.57
1039,2524,108.49
1040,3686,100.53
1041,4912,93.98
1042,6877,84.67
1043,3118,104.03
1044,8124,79.03
1045,7990,79.62
1046,3405,102.06
1047,7019,84.06
1048,1586,118.11
1049,8233,78.47
1050,1920,114.07
1051,2205,111.21
1052,5516,90.99
1053,2233,111.02
1054,8985,73.96
1055,7308,82.89
1056,7725,80.94
1057,9521,69.88
1058,3548,101.24
1059,254,166.87
1060,9424,70.59
1061,1366,121.46
1062,982,129.75
1063,2012,113.17
1064,6075,88.50
1065,2128,111.96
1066,1038,128.25
1067,9728,67.56
1068,1265,123.30
1069,4020,98.57
1070,9035,73.60
1071,3859,99.50
1072,5344,91.85
1073,2466,108.93
1074,2378,109.69
1075,1173,125.42
1076,3755,100.19
1077,5946,89.06
1078,5917,89.18
1079,3811,99.80
1080,9536,69.80
1081,7002,84.11
1082,1971,113.65
1083,5130,92.86
1084,7692,81.11
1085,7876,80.19
1086,5454,91.27
1087,6044,88.63
1088,9037,73.60
1089,9290,71.74
1090,4035,98.47
1091,3889,99.37
1092,3526,101.35
1093,618,140.97
1094,269,164.66
1095,2000,113.33
1096,898,131.78
1097,7559,81.77
1098,1636,117.33
1099,8239,78.43
1100,2665,107.33
1101,423,150.46
1102,47,333.44
1103,6783,85.02
1104,3300,102.85
1105,4988,93.61
1106,4185,97.59
1107,7154,83.47
1108,2500,108.70
1109,7793,80.57
1110,6161,88.13
1111,1911,114.16
1112,282,162.62
1113,2646,107.50
1114,6969,84.26
1115,9128,72.93
1116,706,137.63
1117,7988,79.63
1118,1557,118.54
1119,7083,83.79
1120,4460,96.23
1121,7108,83.64
1122,5549,90.88
1123,3803,99.84
1124,5657,90.40
1125,832,133.61
1126,5371,91.71
1127,4560,95.64
1128,6219,87.88
1129,5874,89.42
1130,5852,89.51
1131,7628,81.40
1132,6308,87.46
1133,3264,103.10
1134,9861,65.38
1135,2374,109.73
1136,3442,101.83
1137,8563,76.63
1138,731,136.75
1139,5328,91.94
1140,8939,74.21
1141,1505,119.44
1142,9087,73.20
1143,923,131.26
1144,7513,81.94
1145,4521,95.85
1146,1206,124.69
1147,6650,85.76
1148,6344,87.29
1149,5169,92.65
1150,5892,89.27
1151,6363,87.22
1152,1362,121.56
1153,125,203.32
1154,4047,98.39
1155,3162,103.82
1156,2167,111.58
1157,3135,103.94
1158,130,199.43
1159,5594,90.68
1160,5031,93.36
1161,5061,93.19
1162,8667,75.99
1163,180,178.02
1164,813,134.04
1165,8889,74.60
1166,2046,112.76
1167,2486,108.77
1168,3216,103.43
1169,1162,125.52
1170,3965,98.84
1171,5755,89.95
1172,2799,106.34
1173,3457,101.76
1174,5775,89.85
1175,405,151.49
1176,3722,100.32
1177,2748,106.71
1178,1933,113.93
1179,7029,84.01
1180,5425,91.43
1181,8201,78.59
1182,6697,85.49
1183,7214,83.22
1184,4650,95.22
1185,9117,73.00
1186,8958,74.11
1187,8318,78.04
